#CuJC, d=20 nm, n=1.38
#nm  Qext    Qsca    Qabs
400 0.90550 0.01001 0.89549
450 0.78545 0.00781 0.77764
500 0.64193 0.00544 0.63649
550 0.65053 0.00472 0.64582
600 0.33845 0.00483 0.33362
650 0.06015 0.00223 0.05791
700 0.02916 0.00130 0.02787
750 0.02031 0.00085 0.01946
800 0.01482 0.00060 0.01422
850 0.01144 0.00044 0.01100
900 0.00916 0.00033 0.00883
