#AuJC, d=20 nm, n=1.38
#nm  Qext    Qsca    Qabs
400 0.79160 0.00728 0.78432
450 0.74690 0.00479 0.74211
500 0.97790 0.00521 0.97269
550 0.93341 0.01317 0.92023
600 0.16110 0.00476 0.15634
650 0.04267 0.00229 0.04038
700 0.02057 0.00135 0.01922
750 0.01358 0.00089 0.01269
800 0.01003 0.00062 0.00941
850 0.00743 0.00045 0.00698
900 0.00572 0.00033 0.00539
