#AgJC, d=100 nm, n=1.38
#nm  Qext    Qsca    Qabs
400 7.57250 5.92529 1.64721
450 6.15462 5.92611 0.22851
500 7.20457 6.93636 0.26821
550 5.35095 5.13203 0.21892
600 3.22387 3.10509 0.11878
650 1.90119 1.83441 0.06677
700 1.16653 1.13417 0.03236
750 0.75414 0.73830 0.01584
800 0.51915 0.50538 0.01377
850 0.36857 0.35791 0.01066
900 0.26958 0.26160 0.00798
