#CuJC, d=100 nm, n=1.38
#nm  Qext    Qsca    Qabs
400 3.33726 1.41944 1.91781
450 3.73461 1.66388 2.07073
500 4.01755 1.75585 2.26170
550 4.39118 1.84213 2.54904
600 6.02095 3.65420 2.36675
650 3.28088 2.64488 0.63600
700 1.70534 1.41950 0.28584
750 1.04182 0.85561 0.18621
800 0.69295 0.56307 0.12988
850 0.48599 0.38845 0.09755
900 0.35626 0.27904 0.07721
