#AuJC, d=100 nm, n=1.38
#nm  Qext    Qsca    Qabs
400 3.07593 1.18336 1.89257
450 3.06428 1.04454 2.01973
500 3.22432 1.03585 2.18847
550 6.05466 3.56908 2.48558
600 6.43633 4.92999 1.50634
650 3.28339 2.82333 0.46006
700 1.72416 1.52294 0.20121
750 1.02871 0.90607 0.12264
800 0.66962 0.58357 0.08605
850 0.46034 0.39858 0.06176
900 0.33172 0.28488 0.04684
