#AuJC, d=60 nm, n=1.38
#nm  Qext    Qsca    Qabs
400 2.61558 0.46415 2.15143
450 2.43103 0.32717 2.10386
500 2.78066 0.32644 2.45422
550 5.21198 1.39982 3.81217
600 1.34007 0.58842 0.75165
650 0.42552 0.25182 0.17370
700 0.21591 0.13832 0.07758
750 0.13585 0.08631 0.04953
800 0.09415 0.05804 0.03611
850 0.06772 0.04106 0.02666
900 0.05081 0.03019 0.02062
