#AgJC, d=20 nm, n=1.38
#nm  Qext    Qsca    Qabs
400 6.15091 1.12509 5.02582
450 0.13946 0.03304 0.10642
500 0.04777 0.00998 0.03779
550 0.02448 0.00459 0.01989
600 0.01282 0.00260 0.01022
650 0.00770 0.00162 0.00607
700 0.00422 0.00108 0.00314
750 0.00238 0.00076 0.00162
800 0.00201 0.00055 0.00146
850 0.00156 0.00041 0.00116
900 0.00118 0.00031 0.00087
