#CuJC, d=60 nm, n=1.38
#nm  Qext    Qsca    Qabs
400 3.03908 0.62951 2.40957
450 3.06375 0.60061 2.46313
500 2.71292 0.47477 2.23815
550 2.74514 0.42847 2.31667
600 2.05113 0.55610 1.49503
650 0.49040 0.24326 0.24714
700 0.24370 0.13158 0.11212
750 0.15874 0.08272 0.07603
800 0.11127 0.05647 0.05479
850 0.08245 0.04024 0.04221
900 0.06370 0.02969 0.03401
